"legislature","url","name","born","sex","constituency","party","committee","photo","nyears"
1,"http://dati.camera.it/ocd/deputato.rdf/d10000_1","MATTEO RESCIGNO",1895,"M","Benevento","DEMOCRATICO CRISTIANO","VI COMMISSIONE ISTRUZIONE E BELLE ARTI;COMMISSIONE SPECIALE PER L'ESAME DEI DISEGNI DI LEGGE N.31: ""CONVERSIONE COMPLESSIVA DI DECRETI LEGGE"";GIUNTA DELLE ELEZIONI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10000&legislatura=1",0
1,"http://dati.camera.it/ocd/deputato.rdf/d1000_1","PAOLO BONOMI",1910,"M","Roma","DEMOCRATICO CRISTIANO","IX COMMISSIONE AGRICOLTURA E FORESTE - ALIMENTAZIONE;GIUNTA PER I TRATTATI DI COMMERCIO E LA LEGISLAZIONE DOGANALE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=1",0
2,"http://dati.camera.it/ocd/deputato.rdf/d1000_2","PAOLO BONOMI",1910,"M","Roma","DEMOCRATICO CRISTIANO","IX COMMISSIONE AGRICOLTURA E FORESTE - ALIMENTAZIONE;COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.72: ""CONVERSIONE IN LEGGE DEL DECRETO LEGGE 21 GIUGNO 1953, N.452, CHE ISTITUISCE L'AMMASSO PER CONTINGENTE DEL FRUMENTO"";COMMISSIONE SPECIALE PER L'ESAME DEL DISEGNO DI LEGGE N.2814, PER LA RATIFICA DEI TRATTATI SUL MERCATO COMUNE E SULL'EURATOM;GIUNTA PER I TRATTATI DI COMMERCIO E LA LEGISLAZIONE DOGANALE;COMMISSIONE PARLAMENTARE CONSULTIVA PER IL PARERE SULLA NUOVA TARIFFA GENERALE DEI DAZI DOGANALI;RAPPRESENTANZA DELLA CAMERA ALL'ASSEMBLEA UNICA DELLE COMUNITÃ EUROPEE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=2",5
3,"http://dati.camera.it/ocd/deputato.rdf/d1000_3","PAOLO BONOMI",1910,"M","Roma","DEMOCRATICO CRISTIANO","XI COMMISSIONE AGRICOLTURA E FORESTE;COMMISSIONE PARLAMENTARE PER IL PARERE SULLA NUOVA TARIFFA GENERALE DEI DAZI DOGANALI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=3",10
4,"http://dati.camera.it/ocd/deputato.rdf/d1000_4","PAOLO BONOMI",1910,"M","Roma","DEMOCRATICO CRISTIANO","XI COMMISSIONE AGRICOLTURA E FORESTE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=4",15
5,"http://dati.camera.it/ocd/deputato.rdf/d1000_5","PAOLO BONOMI",1910,"M","Roma","DEMOCRAZIA CRISTIANA","XI COMMISSIONE AGRICOLTURA E FORESTE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=5",20
6,"http://dati.camera.it/ocd/deputato.rdf/d1000_6","PAOLO BONOMI",1910,"M","Roma","DEMOCRAZIA CRISTIANA","XI COMMISSIONE AGRICOLTURA E FORESTE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=6",24
7,"http://dati.camera.it/ocd/deputato.rdf/d1000_7","PAOLO BONOMI",1910,"M","Roma","DEMOCRAZIA CRISTIANA","XI COMMISSIONE AGRICOLTURA E FORESTE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=7",28
8,"http://dati.camera.it/ocd/deputato.rdf/d1000_8","PAOLO BONOMI",1910,"M","Roma","DEMOCRAZIA CRISTIANA","I COMMISSIONE (AFFARI COSTITUZIONALI - ORGANIZZAZIONE DELLO STATO - REGIONI - DISCIPLINA GENERALE DEL RAPPORTO DEL PUBBLICO IMPIEGO);VIII COMMISSIONE (ISTRUZIONE E BELLE ARTI);XI COMMISSIONE (AGRICOLTURE E FORESTE);XIV COMMISSIONE (IGIENE E SANITÃ PUBBLICA)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=1000&legislatura=8",31
1,"http://dati.camera.it/ocd/deputato.rdf/d10010_1","MARIO RICCI",1908,"M","Parma","COMUNISTA","V COMMISSIONE DIFESA","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10010&legislatura=1",0
2,"http://dati.camera.it/ocd/deputato.rdf/d10010_2","MARIO RICCI",1908,"M","Parma","COMUNISTA","IV COMMISSIONE FINANZE E TESORO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10010&legislatura=2",5
2,"http://dati.camera.it/ocd/deputato.rdf/d10020_2","ACHILLE RIGAMONTI",1910,"M","Verona","PARTITO SOCIALISTA ITALIANO","VII COMMISSIONE LAVORI PUBBLICI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10020&legislatura=2",0
1,"http://dati.camera.it/ocd/deputato.rdf/d10030_1","GIUSEPPE RIVA",1894,"M","Udine","DEMOCRATICO CRISTIANO","I COMMISSIONE AFFARI INTERNI - ORDINAMENTO POLITICO E AMMINISTRATIVO - AFFARI DI CULTO - SPETTACOLI - ATTIVITÃ SPORTIVE - STAMPA;VII COMMISSIONE LAVORI PUBBLICI","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10030&legislatura=1",0
2,"http://dati.camera.it/ocd/deputato.rdf/d10030_2","GIUSEPPE RIVA",1894,"M","Udine","DEMOCRATICO CRISTIANO","I COMMISSIONE AFFARI INTERNI - ORDINAMENTO POLITICO ED AMMINISTRATIVO - AFFARI DI CULTO - SPETTACOLI - ATTIVITÃ SPORTIVE - STAMPA","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=10030&legislatura=2",5
